id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.677173,1783100000040518,1993,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((75026.836 447133.673 0, 75000.067 447103.394 0, 74966.02 447134.49 0, 74993.14599999999 447164.19 0, 75000 447157.854 0, 75003.90399999999 447154.248 0, 75005.14 447153.058 0, 75008.91099999999 447149.768 0, 75016.287 447143.1 0, 75019.969 447139.759 0, 75026.836 447133.673 0))"
pand.677310,1783100000040657,1982,Sloopvergunning verleend,industriefunctie,1326,1326,1,"POLYGON Z ((75067.723 447178.553 0, 75069.001 447180.016 0, 75070.49099999999 447178.714 0, 75071.72 447180.12 0, 75078.387 447174.295 0, 75078.52899999999 447171.922 0, 75084.844 447166.404 0, 75064.523 447143.149 0, 75048.826 447156.865 0, 75066.42600000001 447177.006 0, 75067.723 447178.553 0))"
pand.677582,1783100000040958,1981,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((77711.47900000001 448703.696 0, 77705.864 448701.192 0, 77707.485 448697.555 0, 77704.899 448696.403 0, 77701.963 448702.99 0, 77710.164 448706.646 0, 77711.47900000001 448703.696 0))"
pand.4704401,518100000324548,1980,Sloopvergunning verleend,winkelfunctie,57,57,1,"POLYGON Z ((74991.89 454036.377 0, 75008.045 454023.059 0, 75008.879 454022.339 0, 75007.723 454020.954 0, 75005.735 454018.558 0, 74988.81600000001 454032.741 0, 74991.89 454036.377 0))"
pand.4704773,518100000324927,1931,Sloopvergunning verleend,woonfunctie,48,76,5,"POLYGON Z ((81514.45699999999 452051.219 0, 81515.091 452043.589 0, 81505.424 452042.679 0, 81504.193 452057.898 0, 81513.838 452058.661 0, 81514.45699999999 452051.219 0))"
pand.1544574,614100000012894,1932,Sloopvergunning verleend,woonfunctie,107,107,1,"POLYGON Z ((65993.74099999999 435477.897 0, 65995.86900000001 435483.993 0, 66005.462 435480.644 0, 66003.334 435474.548 0, 65993.74099999999 435477.897 0))"
pand.1544575,614100000012895,1932,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((65972.26700000001 435479.055 0, 65966.889 435481.319 0, 65973.448 435496.515 0, 65972.041 435497.062 0, 65973.693 435500.709 0, 65975.855 435499.961 0, 65976.61 435501.73 0, 65981.656 435499.961 0, 65972.26700000001 435479.055 0))"
pand.1544931,614100000013376,2013,Sloopvergunning verleend,industriefunctie,319,319,1,"POLYGON Z ((63504.248 433083.175 0, 63504.129 433083.463 0, 63526.323 433092.645 0, 63531.317 433080.643 0, 63509.089 433071.467 0, 63507.852 433074.464 0, 63504.248 433083.175 0))"
pand.9535109,599100000670134,1895,Sloopvergunning verleend,woonfunctie,171,184,2,"POLYGON Z ((91573.61900000001 436516.06 0, 91574.39999999999 436509.23 0, 91561.03999999999 436505.8 0, 91560.122 436505.583 0, 91558.429 436512.115 0, 91559.151 436512.292 0, 91560.25 436512.56 0, 91573.61900000001 436516.06 0))"
pand.9535110,599100000670135,1895,Sloopvergunning verleend,logiesfunctie,180,194,2,"POLYGON Z ((91574.39999999999 436509.23 0, 91575.17 436502.48 0, 91562.11 436499.14 0, 91560.58 436498.79 0, 91556.774 436497.758 0, 91555.694 436501.871 0, 91559.692 436502.879 0, 91559.00199999999 436505.317 0, 91560.122 436505.583 0, 91561.03999999999 436505.8 0, 91574.39999999999 436509.23 0))"
